Database import

  Current data status:
    Birds: 0
    Bands: 7
    Band Combos: 2

  Import data status:
    TODO: checking import data

Beginning import...
  Importing birds
Gandalf: Rotoiti, Male, 01/01/92 00:00:00, Alive
Janis Joplin: Kahurangi, Female, 01/01/06 00:00:00, Dead
Tyndall: Waimakariri, Male, 01/01/09 00:00:00, Alive
Tyrion: Westland, Male, 08/11/12 00:00:00, Alive
Ueli: Fiordland, Male, 01/01/06 00:00:00, Alive
Uli: Westland, Female, 01/01/08 00:00:00, Dead
Umpa: Kaikoura, Undetermined, , Alive
Yang: Waimakariri, Male, 31/01/11 00:00:00, Dead
Yellow Kelly: Fiordland, Female, 01/01/09 00:00:00, Alive
Yeti: Waimakariri, Undetermined, 01/01/14 00:00:00, Alive
Yin: Waimakariri, Female, 31/01/11 00:00:00, Alive
Yoda: Westland, Male, 01/01/06 00:00:00, Alive
Yogi: Westland, Female, 02/11/12 00:00:00, Dead
Yuki: Rotoiti, Male, 01/01/12 00:00:00, Alive
Yvonne: Westland, Female, 01/01/08 00:00:00, Missing
Bowie: Wakatipu, Male, 01/01/10 00:00:00, Alive
Brabyn: Waimakariri, Male, 01/01/11 00:00:00, Alive
Branches: Fiordland, Male, 01/01/09 00:00:00, Alive
Brandon: Westland, Male, 14/11/12 00:00:00, Alive
Bravo: Rotoiti, Undetermined, 01/09/12 00:00:00, Dead
Brenda: Rotoiti, Female, 01/12/94 00:00:00, Alive
Brendon: Waimakariri, Male, 01/01/15 00:00:00, Alive
Brent: Kahurangi, Male, 01/01/10 00:00:00, Dead
Brice: Waimakariri, Male, 01/01/09 00:00:00, Alive
Bridget: Westland, Female, 01/01/08 00:00:00, Dead
Bruce: Waimakariri, Male, 01/01/08 00:00:00, Alive
Brutus: Rotoiti, Male, 01/01/10 00:00:00, Alive
Bryan: Fiordland, Male, 01/01/06 00:00:00, Alive
Bubbles: Waimakariri, Male, 01/01/07 00:00:00, Dead
Buck: Wanaka, Male, 01/01/12 00:00:00, Alive
Bucket: Waimakariri, Male, 01/01/10 00:00:00, Alive
Bud: Waimakariri, Female, 21/11/13 00:00:00, Alive
Buddy: Westland, Male, 01/01/09 00:00:00, Not sure, it's been over a year
Buglefree: Kahurangi, Male, 01/01/08 00:00:00, Alive
Bulmers: Aoraki, Male, , Alive
Burnier: Fiordland, Male, 01/01/09 00:00:00, Alive
Burtrand: Kahurangi, Male, 01/01/09 00:00:00, Alive
Buzz Aldrin: Kahurangi, Male, 01/01/06 00:00:00, Alive
Cabbage: Aoraki, Male, , Alive
Caida: Kahurangi, Male, 01/01/05 00:00:00, Alive
Caiti: Waimakariri, Female, 01/01/06 00:00:00, Alive
Camber: Murchison, Male, 01/01/03 00:00:00, Alive
Camel: Waimakariri, Female, 01/01/13 00:00:00, Alive
Cannibal: Westland, Male, 01/01/13 00:00:00, Missing
Captain Sanderson: Waimakariri, Male, , Alive
Cardie: Waimakariri, Male, 01/01/12 00:00:00, Alive
Carkea: Waimakariri, Male, 01/01/13 00:00:00, Alive
Carl: Rotoiti, Male, 01/01/88 00:00:00, Alive
Cassidy: Waimakariri, Female, 01/01/13 00:00:00, Alive
Cassius: Waimakariri, Male, , Alive
Catherine: Waimakariri, Female, 01/01/09 00:00:00, Alive
CC: Westland, Female, 01/01/08 00:00:00, Alive
Cedar: Westland, Female, 01/01/10 00:00:00, Alive
Ceejay: Rotoiti, Female, 01/01/05 00:00:00, Dead
Celine: Fiordland, Female, 01/01/07 00:00:00, Alive
Champ: Westland, Undetermined, 01/01/14 00:00:00, Alive
Chance: Westland, Male, 13/12/10 00:00:00, Missing
Chaos: Waimakariri, Male, 01/01/15 00:00:00, Alive
Charleston: Waimakariri, Male, 01/01/08 00:00:00, Alive
Charlize: Waimakariri, Female, 01/01/10 00:00:00, Alive
Chase: Westland, Male, 01/01/10 00:00:00, Alive
Cheese: Rotoiti, Male, 01/01/09 00:00:00, Dead
Cheezel: Rotoiti, Male, 01/01/05 00:00:00, Alive
Chewy: Kahurangi, Male, 12/12/12 00:00:00, Alive
Chicken Little: Rotoiti, Male, 01/01/09 00:00:00, Alive
Chill: Wanaka, Male, 01/01/13 00:00:00, Alive
Chole: Westland, Male, 01/01/08 00:00:00, Alive
Christie: Rotoiti, Female, 01/01/91 00:00:00, Alive
Christmas: Kahurangi, Female, 14/01/12 00:00:00, Dead
Chunk: Waimakariri, Male, 01/01/12 00:00:00, Alive
Ciara: Waimakariri, Female, 01/01/09 00:00:00, Alive
Clamp: Waimakariri, Male, 01/01/06 00:00:00, Alive
Clara: Waimakariri, Female, 01/01/09 00:00:00, Alive
Clarke: Aoraki, Male, , Alive
Claudius: Rotoiti, Male, 01/01/09 00:00:00, Alive
Clean: Westland, Male, 01/01/06 00:00:00, Alive
Clelio: Wakatipu, Male, 01/01/10 00:00:00, Alive
Cleopatra: Rotoiti, Female, 01/01/10 00:00:00, Missing
Clever: Aoraki, Female, , Alive
Clio: Fiordland, Male, 01/01/05 00:00:00, Alive
Cloud: Waimakariri, Female, 01/01/15 00:00:00, Alive
Coco: Aoraki, Female, , Alive
Cold Chester: Waimakariri, Male, 01/01/10 00:00:00, Alive
Colin: Rotoiti, Undetermined, 01/01/15 00:00:00, Alive
Connemara: Aoraki, Female, , Alive
Connor: Wakatipu, Male, 01/01/06 00:00:00, Alive
Cooksie: Westland, Male, 01/01/07 00:00:00, Alive
Cooper: Rotoiti, Male, 01/01/13 00:00:00, Alive
Cooter: Fiordland, Male, 01/01/06 00:00:00, Alive
Corey: Waimakariri, Male, 01/01/09 00:00:00, Alive
Corkscrew: Kahurangi, Male, 01/01/04 00:00:00, Missing
Courtney: Kahurangi, Undetermined, 01/01/16 00:00:00, Alive
Cradle: Westland, Male, 01/01/10 00:00:00, Alive
Craig: Waimakariri, Male, 01/01/12 00:00:00, Alive
Crazy Horse: Kahurangi, Male, 01/01/05 00:00:00, Dead
Creb: Westland, Male, 14/02/12 00:00:00, Dead
Creeky: Westland, Female, 01/01/05 00:00:00, Alive
Cribbage: Westland, Male, 01/01/04 00:00:00, Alive
Cromarty: Wakatipu, Male, 01/01/06 00:00:00, Alive
Cubit: Westland, Male, 01/01/08 00:00:00, Alive
